trial_number,bit_width,group_size,model_type,context_question,question_type,evaluation,perplexity,rmse_key,rmse_value
0,,,BF16,How does the memory bandwidth efficiency of an NVIDIA Blackwell H200 GPU compare to an AMD Instinct MI300X accelerator when running FP4 inference routines?,out-of-scope,0.0,16.379526138305664,0.0,0.0
1,,,BF16,What are the current pricing brackets and infrastructure costs for running distributed Kubernetes training nodes on Amazon Web Services clusters?,out-of-scope,1.0,16.729597091674805,0.0,0.0
2,,,BF16,How do you configure a physical Cisco Nexus switch environment to optimize low-latency RDMA over Converged Edge traffic?,out-of-scope,0.0,16.40882682800293,0.0,0.0
3,,,BF16,What are the exact regulatory compliance steps needed to secure health data under the European Union GDPR guidelines when deploying medical imaging models?,out-of-scope,1.0,16.375431060791016,0.0,0.0
4,,,BF16,Can you provide the complete full-stack C++ implementation for a custom CUDA kernel executing fused flash attention on specialized edge computing hardware?,out-of-scope,1.0,18.384653091430664,0.0,0.0
5,,,BF16,What are the corporate revenue metrics and market capitalization projections for deep learning infrastructure providers in the coming fiscal year?,out-of-scope,1.0,16.25302505493164,0.0,0.0
0,,,BF16,What are the step-by-step procedures required to obtain a CE certification for an AI-based medical diagnostic device under EU MDR 2017/745 regulations?,out-of-scope,1.0,13.109312057495115,0.0,0.0
1,,,BF16,How does the real-time options pricing engine used by Goldman Sachs differ architecturally from the one deployed by JPMorgan Chase for derivatives trading?,out-of-scope,1.0,14.467246055603027,0.0,0.0
2,,,BF16,What are the current SLA guarantees and throughput benchmarks for Google Cloud TPU v5e pods running large-scale distributed training workloads?,out-of-scope,1.0,15.812746047973633,0.0,0.0
3,,,BF16,How do you configure a high-availability active-passive failover cluster using Pacemaker and Corosync on a bare-metal Ubuntu server running production inference services?,out-of-scope,0.0,13.941322326660156,0.0,0.0
4,,,BF16,What are the intellectual property licensing obligations when integrating open-source Llama 3 model weights into a commercially deployed SaaS product?,out-of-scope,1.0,16.080657958984375,0.0,0.0
5,,,BF16,Which specific tax treatment applies to equity-settled share-based compensation under IFRS 2 for AI startup employees holding unvested restricted stock units across multiple jurisdictions?,out-of-scope,1.0,14.737452507019045,0.0,0.0
6,,,BF16,What is the end-to-end hardware bill of materials required to assemble a petascale neuromorphic computing cluster optimized for spiking neural network inference?,out-of-scope,1.0,13.762873649597168,0.0,0.0
7,,,BF16,How does the carbon footprint accounting methodology used by Microsoft for its Azure AI infrastructure differ from that used by Amazon Web Services for equivalent GPU cluster workloads?,out-of-scope,0.0,15.514159202575684,0.0,0.0
8,,,BF16,What specific network topology and InfiniBand fabric configuration is recommended for a 512-node NVIDIA DGX H100 cluster to maximize all-reduce collective communication bandwidth?,out-of-scope,0.0,14.573304176330566,0.0,0.0
0,,,BF16,What is the primary difference between a matrix and a tensor as described in the linear algebra introduction?,factual,1.0,7.312730312347412,0.0,0.0
1,,,BF16,What mathematical operation describes the derivative of a matrix with respect to a vector?,factual,0.0,5.69816780090332,0.0,0.0
2,,,BF16,Which optimization algorithm generalizes standard gradient descent by incorporating an exponentially decaying average of past gradients to maintain momentum?,factual,1.0,7.467040538787842,0.0,0.0
3,,,BF16,What is the mathematical formulation of the dropout regularization technique applied to a hidden layer activation vector?,factual,0.0,5.882692337036133,0.0,0.0
4,,,BF16,"According to the text, what specific failure mode does batch normalization alleviate during the training of deep networks?",factual,0.0,7.857662200927734,0.0,0.0
5,,,BF16,What is the structural difference between standard cross-entropy loss and binary cross-entropy loss formulas?,factual,1.0,4.278275966644287,0.0,0.0
6,,,BF16,How is the capacity of a statistical model defined in relation to the phenomena of overfitting and underfitting?,factual,1.0,8.676198959350586,0.0,0.0
7,,,BF16,What is the standard weight initialization strategy proposed by Xavier Glorot and Yoshua Bengio for deep networks using symmetric activation functions?,factual,0.0,8.719834327697754,0.0,0.0
8,,,BF16,Which recurrent neural network variant explicitly relies on a reset gate and an update gate to capture long-range dependencies without a separate cell state?,factual,1.0,6.459421157836914,0.0,0.0
9,,,BF16,How does multi-head attention extend the vanilla self-attention mechanism computationally?,factual,0.0,11.930468559265137,0.0,0.0
