trial_number,bit_width,group_size,model_type,context_question,question_type,evaluation,perplexity,rmse_key,rmse_value
0,2.0,128,Compressed,What are the step-by-step procedures required to obtain a CE certification for an AI-based medical diagnostic device under EU MDR 2017/745 regulations?,out-of-scope,0.0,13.109312057495115,1.3089436292648315,0.2095194607973098
1,2.0,128,Compressed,How does the real-time options pricing engine used by Goldman Sachs differ architecturally from the one deployed by JPMorgan Chase for derivatives trading?,out-of-scope,0.0,14.467246055603027,1.227097988128662,0.2106392234563827
2,2.0,128,Compressed,What are the current SLA guarantees and throughput benchmarks for Google Cloud TPU v5e pods running large-scale distributed training workloads?,out-of-scope,0.0,15.812746047973633,1.2887064218521118,0.2094947397708892
3,2.0,128,Compressed,How do you configure a high-availability active-passive failover cluster using Pacemaker and Corosync on a bare-metal Ubuntu server running production inference services?,out-of-scope,0.0,13.941322326660156,1.275476336479187,0.2120991200208664
4,2.0,128,Compressed,What are the intellectual property licensing obligations when integrating open-source Llama 3 model weights into a commercially deployed SaaS product?,out-of-scope,0.0,16.080657958984375,1.289334416389465,0.2121475487947464
5,2.0,128,Compressed,Which specific tax treatment applies to equity-settled share-based compensation under IFRS 2 for AI startup employees holding unvested restricted stock units across multiple jurisdictions?,out-of-scope,0.0,14.737452507019045,1.3016104698181152,0.2112695872783661
6,2.0,128,Compressed,What is the end-to-end hardware bill of materials required to assemble a petascale neuromorphic computing cluster optimized for spiking neural network inference?,out-of-scope,0.0,13.762873649597168,1.2877410650253296,0.2109028846025467
7,2.0,128,Compressed,How does the carbon footprint accounting methodology used by Microsoft for its Azure AI infrastructure differ from that used by Amazon Web Services for equivalent GPU cluster workloads?,out-of-scope,0.0,15.514159202575684,1.2799760103225708,0.2123553156852722
8,2.0,128,Compressed,What specific network topology and InfiniBand fabric configuration is recommended for a 512-node NVIDIA DGX H100 cluster to maximize all-reduce collective communication bandwidth?,out-of-scope,0.0,14.573304176330566,1.2226660251617432,0.2112341821193695
0,2.0,128,Compressed,How does the memory bandwidth efficiency of an NVIDIA Blackwell H200 GPU compare to an AMD Instinct MI300X accelerator when running FP4 inference routines?,out-of-scope,0.0,16.379526138305664,1.306650161743164,0.2100865244865417
1,2.0,128,Compressed,What are the current pricing brackets and infrastructure costs for running distributed Kubernetes training nodes on Amazon Web Services clusters?,out-of-scope,0.0,16.729597091674805,1.289637804031372,0.2113104164600372
2,2.0,128,Compressed,How do you configure a physical Cisco Nexus switch environment to optimize low-latency RDMA over Converged Edge traffic?,out-of-scope,0.0,16.40882682800293,1.2992632389068604,0.2090084701776504
3,2.0,128,Compressed,What are the exact regulatory compliance steps needed to secure health data under the European Union GDPR guidelines when deploying medical imaging models?,out-of-scope,0.0,16.375431060791016,1.2244789600372314,0.2100318074226379
4,2.0,128,Compressed,Can you provide the complete full-stack C++ implementation for a custom CUDA kernel executing fused flash attention on specialized edge computing hardware?,out-of-scope,0.0,18.384653091430664,1.2249698638916016,0.2108920365571975
5,2.0,128,Compressed,What are the corporate revenue metrics and market capitalization projections for deep learning infrastructure providers in the coming fiscal year?,out-of-scope,0.0,16.25302505493164,1.2999305725097656,0.2092244774103164
0,2.0,128,Compressed,How do the probability and information theory notation definitions (entropy H[P] and KL-divergence D_KL) connect to the cross-entropy loss function used to train softmax classifiers?,cross-reference,0.0,13.686322212219238,1.244728922843933,0.2105847150087356
1,2.0,128,Compressed,In what ways do the sparse interaction and weight-sharing properties that distinguish convolutional layers from fully connected layers relate to the covariance matrix structure exploited during PCA-based dimensionality reduction of image data?,cross-reference,0.0,12.946152687072754,1.2499133348464966,0.2097058147192001
2,2.0,128,Compressed,"How does the vanishing gradient problem identified during backpropagation through deep networks interact with the choice of Xavier initialization, and how does the GRU architecture structurally reduce reliance on proper initialization for capturing long-range dependencies?",cross-reference,0.0,13.263567924499512,1.2882682085037231,0.2107443958520889
3,2.0,128,Compressed,How are the mathematical operators defined in the notation section — specifically the Hadamard product and matrix transpose — concretely instantiated within the GRU gating equations and the scaled dot-product attention computation?,cross-reference,0.0,8.475191116333008,1.297146201133728,0.2078933417797088
4,2.0,128,Compressed,"How does the generalization theory concept of model capacity — quantified through VC dimension — constrain the practical architecture choices of depth, width, and dropout rate when building a GRU for sequence modeling?",cross-reference,0.0,16.8994197845459,1.2740193605422974,0.2122372537851333
5,2.0,128,Compressed,How do Adam's bias-correction terms interact with the gradient scale produced by Xavier initialization versus poorly scaled alternatives during the first iterations of training?,cross-reference,0.0,22.62911605834961,1.2472680807113647,0.2096785455942154
6,2.0,128,Compressed,"How do the running statistics tracked by batch normalization during training get corrupted when dropout is applied before normalization layers, and how does this manifest as a mismatch when the model is evaluated on the validation or test split?",cross-reference,0.0,8.545401573181152,1.3227273225784302,0.2094568908214569
7,2.0,128,Compressed,How does the strictly convex optimization framework — where every local minimum is a global minimum because the Hessian is positive definite everywhere — break down when ReLU activations and max-pooling are introduced in a multi-layer convolutional architecture?,cross-reference,0.0,13.552337646484377,1.2759437561035156,0.211473286151886
8,2.0,128,Compressed,"How does the BLEU evaluation metric for sequence-to-sequence translation connect to the conditional probability notation established in the preamble, and how does the choice between Adam and SGD with momentum affect the model's ability to maximize it indirectly during training?",cross-reference,0.0,11.39276885986328,1.287090301513672,0.2100180834531784
0,2.0,128,Compressed,What is the primary difference between a matrix and a tensor as described in the linear algebra introduction?,factual,0.0,7.312730312347412,1.302763819694519,0.2103210091590881
1,2.0,128,Compressed,What mathematical operation describes the derivative of a matrix with respect to a vector?,factual,0.0,5.69816780090332,1.3418333530426023,0.2102125585079193
2,2.0,128,Compressed,Which optimization algorithm generalizes standard gradient descent by incorporating an exponentially decaying average of past gradients to maintain momentum?,factual,1.0,7.467040538787842,1.338544249534607,0.2111329585313797
3,2.0,128,Compressed,What is the mathematical formulation of the dropout regularization technique applied to a hidden layer activation vector?,factual,0.0,5.882692337036133,1.313171148300171,0.2073464840650558
4,2.0,128,Compressed,"According to the text, what specific failure mode does batch normalization alleviate during the training of deep networks?",factual,0.0,7.857662200927734,1.3272331953048706,0.2094963192939758
5,2.0,128,Compressed,What is the structural difference between standard cross-entropy loss and binary cross-entropy loss formulas?,factual,0.0,4.278275966644287,1.361280918121338,0.211797297000885
6,2.0,128,Compressed,How is the capacity of a statistical model defined in relation to the phenomena of overfitting and underfitting?,factual,0.0,8.676198959350586,1.3353912830352783,0.2084784805774688
7,2.0,128,Compressed,What is the standard weight initialization strategy proposed by Xavier Glorot and Yoshua Bengio for deep networks using symmetric activation functions?,factual,0.0,8.719834327697754,1.3112521171569824,0.2102575898170471
8,2.0,128,Compressed,Which recurrent neural network variant explicitly relies on a reset gate and an update gate to capture long-range dependencies without a separate cell state?,factual,0.0,6.459421157836914,1.2913864850997925,0.210942268371582
