trial_number,bit_width,group_size,model_type,context_question,question_type,evaluation,perplexity,rmse_key,rmse_value
0,4.0,128,Compressed,Which recurrent neural network variant explicitly relies on a reset gate and an update gate to capture long-range dependencies without a separate cell state?,factual,1.0,6.736977577209473,0.46227899193763733,0.07476227730512619
1,4.0,128,Compressed,How does multi-head attention extend the vanilla self-attention mechanism computationally?,factual,0.0,12.653460502624512,0.4570777118206024,0.0748668760061264
2,4.0,128,Compressed,What specific matrix decomposition forms the foundation for Principal Component Analysis (PCA) optimization?,factual,0.0,15.968244552612305,0.4357726573944092,0.07462438941001892
3,4.0,128,Compressed,What are the three canonical data splits required to build and evaluate a deep learning pipeline cleanly?,factual,0.0,16.421852111816406,0.4626200497150421,0.07368090003728867
4,4.0,128,Compressed,What mathematical constraint determines whether an optimization problem is considered strictly convex?,factual,0.0,7.057506561279297,0.463781476020813,0.07533442229032516
5,4.0,128,Compressed,What structural property separates a convolutional layer from a fully connected layer regarding parameter efficiency?,factual,0.0,9.9525728225708,0.46823737025260925,0.07473335415124893
6,4.0,128,Compressed,What specific formulation distinguishes Adam from the RMSProp optimizer?,factual,0.0,17.399538040161133,0.46113935112953186,0.0741957351565361
7,4.0,128,Compressed,"What phenomenon occurs when the gradients flowing backward through a deep architecture approach zero, preventing earlier layers from updating?",factual,0.0,13.212292671203613,0.45601919293403625,0.07440809160470963
8,4.0,128,Compressed,What is the primary difference between a matrix and a tensor as described in the linear algebra introduction?,factual,1.0,7.399857997894287,0.4677034914493561,0.07381406426429749
9,4.0,128,Compressed,What mathematical operation describes the derivative of a matrix with respect to a vector?,factual,1.0,5.8108625411987305,0.4723632335662842,0.07483308762311935
10,4.0,128,Compressed,Which optimization algorithm generalizes standard gradient descent by incorporating an exponentially decaying average of past gradients to maintain momentum?,factual,1.0,7.542524337768555,0.46998587250709534,0.07516404986381531
11,4.0,128,Compressed,What is the mathematical formulation of the dropout regularization technique applied to a hidden layer activation vector?,factual,0.0,5.967074871063232,0.4715687930583954,0.0739978477358818
12,4.0,128,Compressed,"According to the text, what specific failure mode does batch normalization alleviate during the training of deep networks?",factual,0.0,8.015217781066895,0.468492329120636,0.07440688461065292
13,4.0,128,Compressed,What is the structural difference between standard cross-entropy loss and binary cross-entropy loss formulas?,factual,0.0,4.339846134185791,0.48201051354408264,0.07565029710531235
14,4.0,128,Compressed,How is the capacity of a statistical model defined in relation to the phenomena of overfitting and underfitting?,factual,1.0,8.932686805725098,0.47189584374427795,0.07414761185646057
15,4.0,128,Compressed,What is the standard weight initialization strategy proposed by Xavier Glorot and Yoshua Bengio for deep networks using symmetric activation functions?,factual,0.0,9.14609432220459,0.4608585834503174,0.07463834434747696
