trial_number,bit_width,group_size,model_type,context_question,question_type,evaluation,perplexity,rmse_key,rmse_value
0,3.5,128,Compressed,Which recurrent neural network variant explicitly relies on a reset gate and an update gate to capture long-range dependencies without a separate cell state?,factual,1.0,6.725016117095947,0.7467349767684937,0.10931826382875443
1,3.5,128,Compressed,How does multi-head attention extend the vanilla self-attention mechanism computationally?,factual,0.0,12.634502410888672,0.7399508953094482,0.10992633551359177
2,3.5,128,Compressed,What specific matrix decomposition forms the foundation for Principal Component Analysis (PCA) optimization?,factual,0.0,15.956183433532715,0.7039874792098999,0.1087537407875061
3,3.5,128,Compressed,What are the three canonical data splits required to build and evaluate a deep learning pipeline cleanly?,factual,0.0,16.398923873901367,0.7016385197639465,0.10883595049381256
4,3.5,128,Compressed,What mathematical constraint determines whether an optimization problem is considered strictly convex?,factual,0.0,7.056824684143066,0.7559188604354858,0.10917970538139343
5,3.5,128,Compressed,What structural property separates a convolutional layer from a fully connected layer regarding parameter efficiency?,factual,0.0,9.944723129272461,0.7428499460220337,0.10957638174295425
6,3.5,128,Compressed,What specific formulation distinguishes Adam from the RMSProp optimizer?,factual,0.0,17.415620803833008,0.7393655180931091,0.10867635905742645
7,3.5,128,Compressed,"What phenomenon occurs when the gradients flowing backward through a deep architecture approach zero, preventing earlier layers from updating?",factual,0.0,13.202342987060547,0.7234926819801331,0.10899978876113892
8,3.5,128,Compressed,What is the primary difference between a matrix and a tensor as described in the linear algebra introduction?,factual,0.0,7.399857997894287,0.7470486164093018,0.10827842354774475
9,3.5,128,Compressed,What mathematical operation describes the derivative of a matrix with respect to a vector?,factual,0.0,5.8108625411987305,0.7628681659698486,0.10924223065376282
10,3.5,128,Compressed,Which optimization algorithm generalizes standard gradient descent by incorporating an exponentially decaying average of past gradients to maintain momentum?,factual,0.0,7.542524337768555,0.7570875287055969,0.10962402075529099
11,3.5,128,Compressed,What is the mathematical formulation of the dropout regularization technique applied to a hidden layer activation vector?,factual,0.0,5.967074871063232,0.756268322467804,0.10776867717504501
12,3.5,128,Compressed,"According to the text, what specific failure mode does batch normalization alleviate during the training of deep networks?",factual,0.0,8.015217781066895,0.7474870681762695,0.1086825504899025
13,3.5,128,Compressed,What is the structural difference between standard cross-entropy loss and binary cross-entropy loss formulas?,factual,0.0,4.339846134185791,0.7750428915023804,0.10985497385263443
14,3.5,128,Compressed,How is the capacity of a statistical model defined in relation to the phenomena of overfitting and underfitting?,factual,0.0,8.932686805725098,0.7596698999404907,0.10866937786340714
15,3.5,128,Compressed,What is the standard weight initialization strategy proposed by Xavier Glorot and Yoshua Bengio for deep networks using symmetric activation functions?,factual,0.0,9.14609432220459,0.7381576895713806,0.10914303362369537
